id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,output_vessel
OLRT4124669,40,reefer,full,heavy,truck,deep_sea,export,washing,,Jim Wonder
ZXOJ7778112,40,dry,empty,heavy,deep_sea,deep_sea,waterside_transshipment,,,Jim Wonder
LKOM1533446,40,dry,full,heavy,truck,deep_sea,export,seal,,Jim Wonder
VBGJ3736143,40,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,stuff,,Jim Wonder
NMTN9832748,20,reefer,full,heavy,rail,deep_sea,export,washing,,Jim Wonder
SFOH2331662,40,dry,full,light,rail,deep_sea,export,strip,,Jim Wonder
VVLH4474828,40,dry,empty,heavy,deep_sea,truck,import,,Jim Wonder,
XRCF1895895,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
NZIB7463189,40,dry,full,light,deep_sea,rail,import,washing,Jim Wonder,
BXGF4753561,20,dry,empty,heavy,deep_sea,rail,import,,Jim Wonder,
SXJB9852784,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
LDYI9347869,40,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
SBJK6596537,20,hazardous,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
EBRN1285182,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
TUMC7652212,40,reefer,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
QEHS4961178,40,dry,full,medium,deep_sea,rail,import,strip,Jim Wonder,
KYVB8665647,40,reefer,full,light,deep_sea,rail,import,washing,Jim Wonder,
FFCK1457893,20,dry,empty,medium,deep_sea,feeder,waterside_transshipment,customs,Jim Wonder,
AXNI6929744,40,dry,full,light,deep_sea,rail,import,stuff,Jim Wonder,
QUOR8736175,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
QSJH9213148,40,hazardous,full,heavy,deep_sea,truck,import,seal,Jim Wonder,
YVZT1345284,40,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
PYXF8316511,40,dry,full,light,deep_sea,rail,import,,Jim Wonder,
QYFU1356446,20,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
CBML1684513,40,dry,full,medium,deep_sea,truck,import,seal,Jim Wonder,
JKJN1237438,40,dry,full,light,deep_sea,truck,import,strip,Jim Wonder,
EFEZ8379644,40,dry,full,heavy,deep_sea,rail,import,seal,Jim Wonder,
EFAQ4672996,40,dry,full,light,deep_sea,rail,import,customs,Jim Wonder,
ZNXS5417763,20,dry,full,light,deep_sea,rail,import,,Jim Wonder,
RKBZ6523647,40,dry,empty,medium,deep_sea,truck,import,,Jim Wonder,
OKBR2358111,20,dry,full,medium,deep_sea,rail,import,washing,Jim Wonder,
CBZH6422611,20,dry,full,heavy,deep_sea,truck,import,customs,Jim Wonder,
AYAJ8573535,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
KFKS6468594,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
LTPU5376596,20,dry,full,medium,deep_sea,truck,import,,Jim Wonder,
DLCP4343167,20,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
KNLX2778177,40,dry,empty,heavy,deep_sea,rail,import,washing,Jim Wonder,
TWCD4281469,20,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
WMTW8123363,40,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
LJDA6491748,40,hazardous,full,heavy,deep_sea,rail,import,,Jim Wonder,
SAOC6729219,40,dry,empty,light,deep_sea,rail,import,strip,Jim Wonder,
NMLL3535169,20,dry,empty,medium,deep_sea,rail,import,washing,Jim Wonder,
CTPD1179138,40,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
FGJX8265248,40,reefer,empty,light,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
SNWD5865691,20,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
SFEH9579214,40,hazardous,empty,medium,deep_sea,rail,import,seal,Jim Wonder,
ZNKI9679778,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
RHQY3983725,20,dry,full,heavy,deep_sea,truck,import,,Jim Wonder,
GRYE3985619,40,dry,full,light,deep_sea,rail,import,stuff,Jim Wonder,
VPAI8869522,20,hazardous,empty,heavy,deep_sea,rail,import,strip,Jim Wonder,
QTAO8466867,40,dry,empty,medium,deep_sea,truck,import,stuff,Jim Wonder,
FPRW1594374,40,reefer,empty,light,deep_sea,rail,import,seal,Jim Wonder,
KWVR2532126,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
GWCF8415934,40,dry,full,heavy,deep_sea,rail,import,seal,Jim Wonder,
DNDJ4962786,40,dry,empty,medium,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
OPCL4968956,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
DGKA6395324,40,dry,empty,medium,deep_sea,rail,import,customs,Jim Wonder,
EAFX7535647,40,hazardous,full,light,deep_sea,feeder,waterside_transshipment,washing,Jim Wonder,
HHLW2695333,40,dry,full,medium,deep_sea,rail,import,washing,Jim Wonder,
AQCY4785852,20,dry,empty,medium,deep_sea,rail,import,customs,Jim Wonder,
BDGE2683836,40,dry,full,heavy,deep_sea,rail,import,,Jim Wonder,
LOFT7564233,40,reefer,empty,medium,deep_sea,rail,import,washing,Jim Wonder,
EBRZ2435377,40,reefer,full,heavy,deep_sea,rail,import,,Jim Wonder,
GMAE4438775,40,reefer,empty,light,deep_sea,rail,import,seal,Jim Wonder,
QBXJ3539461,40,hazardous,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
FIYF7462586,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
KVMM7561135,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
BIPW6652338,20,reefer,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
CNRV8953229,40,dry,full,light,deep_sea,truck,import,stuff,Jim Wonder,
UPYS1196431,40,dry,full,light,deep_sea,rail,import,strip,Jim Wonder,
YJGG8353271,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
NDVK8523447,20,dry,full,light,deep_sea,truck,import,stuff,Jim Wonder,
JSRN8245577,40,dry,full,medium,deep_sea,truck,import,,Jim Wonder,
MCXQ6317863,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
SSEQ7357954,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
MIQQ5342759,40,dry,full,light,deep_sea,rail,import,,Jim Wonder,
PZYJ6834491,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
TNTO9784975,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,strip,Jim Wonder,
LVHP1657472,40,dry,full,medium,deep_sea,rail,import,washing,Jim Wonder,
KZEN3651112,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
MDDZ4288362,40,hazardous,empty,medium,deep_sea,rail,import,washing,Jim Wonder,
UNCH2232925,20,dry,full,light,deep_sea,truck,import,,Jim Wonder,
TAXD9945536,40,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,stuff,Jim Wonder,
ENEP5392826,40,dry,full,light,deep_sea,feeder,waterside_transshipment,strip,Jim Wonder,
JKMH4967654,40,dry,full,medium,deep_sea,truck,import,seal,Jim Wonder,
WVQL7142582,40,dry,full,light,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
AMLV9119671,40,dry,full,heavy,deep_sea,feeder,waterside_transshipment,washing,Jim Wonder,
IKZQ5949537,20,dry,full,light,deep_sea,rail,import,strip,Jim Wonder,
HXYJ7296394,40,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
AFHK4472228,40,dry,full,light,deep_sea,truck,import,stuff,Jim Wonder,
TLYG9593552,40,hazardous,empty,light,deep_sea,rail,import,,Jim Wonder,
HNEL5319972,40,hazardous,empty,medium,deep_sea,truck,import,stuff,Jim Wonder,
TFOZ7851867,20,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
OTEO5972778,40,reefer,full,light,deep_sea,feeder,waterside_transshipment,washing,Jim Wonder,
ORUF6536755,40,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
UCRD8461124,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,strip,Jim Wonder,
LEWC7636961,40,dry,empty,light,deep_sea,rail,import,,Jim Wonder,
LRMI8914382,40,dry,full,medium,deep_sea,truck,import,,Jim Wonder,
YSMY7589499,40,hazardous,empty,heavy,deep_sea,truck,import,customs,Jim Wonder,
TEGP9122719,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
FIAJ2923239,20,dry,full,light,deep_sea,rail,import,,Jim Wonder,
VCWV5583169,20,dry,full,medium,deep_sea,truck,import,,Jim Wonder,
NYNF1924281,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
PFUD9615527,40,hazardous,full,light,deep_sea,rail,import,customs,Jim Wonder,
BNKE1716523,40,dry,full,light,deep_sea,rail,import,customs,Jim Wonder,
VLCS7736924,20,reefer,full,medium,deep_sea,rail,import,washing,Jim Wonder,
LBTF7845487,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
NOTJ5569961,40,reefer,full,light,deep_sea,rail,import,washing,Jim Wonder,
IOIJ1761917,40,dry,full,light,deep_sea,feeder,waterside_transshipment,washing,Jim Wonder,
KUVQ6759181,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
XYLB3172393,40,dry,full,light,deep_sea,feeder,waterside_transshipment,strip,Jim Wonder,
TZHW9946352,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
FDQL8614996,20,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
MTGV7151634,40,dry,full,heavy,deep_sea,rail,import,stuff,Jim Wonder,
TFCP5345794,40,dry,empty,medium,deep_sea,rail,import,seal,Jim Wonder,
UPEO7628281,20,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
QKPM4899784,20,dry,full,light,deep_sea,truck,import,seal,Jim Wonder,
PNFN9623231,40,dry,full,light,deep_sea,rail,import,customs,Jim Wonder,
DTAZ4242673,40,dry,full,medium,deep_sea,truck,import,stuff,Jim Wonder,
SQXK5951996,40,dry,full,light,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
UQSG9396197,20,dry,full,light,deep_sea,rail,import,washing,Jim Wonder,
FFJZ8166665,40,dry,empty,light,deep_sea,truck,import,customs,Jim Wonder,
EEIO2219358,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
WTOU4755687,40,dry,full,medium,deep_sea,rail,import,stuff,Jim Wonder,
KONA3731194,40,dry,full,heavy,deep_sea,rail,import,strip,Jim Wonder,
AJTY1319328,40,dry,full,heavy,deep_sea,truck,import,seal,Jim Wonder,
CSMO7771551,40,hazardous,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,Jim Wonder,
KGXM9837687,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
WJBS2369982,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
WWEJ5461498,20,dry,full,medium,deep_sea,truck,import,seal,Jim Wonder,
XGDZ8925191,20,dry,full,light,deep_sea,truck,import,customs,Jim Wonder,
UUIB5242521,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
YPCH6475368,20,dry,empty,heavy,deep_sea,rail,import,,Jim Wonder,
NQEV6338652,40,reefer,full,heavy,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
JHTY3455278,40,hazardous,full,light,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
SXKY9732796,20,dry,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
BMDI8694547,40,reefer,full,heavy,deep_sea,rail,import,,Jim Wonder,
QZCQ8328694,20,dry,full,light,deep_sea,truck,import,washing,Jim Wonder,
RHGA9935458,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
BIHH7163936,40,dry,empty,medium,deep_sea,feeder,waterside_transshipment,stuff,Jim Wonder,
ODMT3686833,40,hazardous,empty,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
WFTN4935414,20,dry,full,light,deep_sea,truck,import,washing,Jim Wonder,
PPAA7683568,40,dry,full,light,deep_sea,rail,import,,Jim Wonder,
QQPC3192467,40,hazardous,full,heavy,deep_sea,truck,import,washing,Jim Wonder,
LOBS6378539,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
AWSO1817345,40,dry,empty,medium,deep_sea,rail,import,seal,Jim Wonder,
UEUN5157226,20,hazardous,full,medium,deep_sea,rail,import,,Jim Wonder,
FBYK2859587,40,dry,full,heavy,deep_sea,rail,import,seal,Jim Wonder,
FBXK5134295,40,dry,full,light,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
VCJZ6815796,20,dry,full,light,deep_sea,truck,import,strip,Jim Wonder,
JMSP4915944,20,dry,full,medium,deep_sea,rail,import,strip,Jim Wonder,
CXDU8611477,40,dry,empty,heavy,deep_sea,truck,import,,Jim Wonder,
IUXY3698527,40,dry,full,medium,deep_sea,truck,import,seal,Jim Wonder,
OJRI3345721,40,reefer,full,light,deep_sea,rail,import,,Jim Wonder,
VOBZ4398836,20,dry,full,light,deep_sea,truck,import,customs,Jim Wonder,
XQMU4544638,20,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
LUOP8742492,20,dry,full,heavy,deep_sea,feeder,waterside_transshipment,washing,Jim Wonder,
JPNV6686724,20,dry,full,heavy,deep_sea,rail,import,,Jim Wonder,
BFPN1448189,40,hazardous,full,light,deep_sea,feeder,waterside_transshipment,stuff,Jim Wonder,
EMRQ2397567,40,dry,full,medium,deep_sea,feeder,waterside_transshipment,seal,Jim Wonder,
UKOS5962996,20,dry,full,heavy,deep_sea,truck,import,washing,Jim Wonder,
GBFO4588723,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
MZSI8473334,20,reefer,full,medium,deep_sea,rail,import,seal,Jim Wonder,
ZQII2629157,20,hazardous,empty,medium,deep_sea,truck,import,washing,Jim Wonder,
GFVE8328865,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
WTFZ6484938,20,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
WNUY7452267,40,reefer,empty,heavy,deep_sea,feeder,waterside_transshipment,seal,Jim Wonder,
PRZP3312464,20,dry,empty,light,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
UINX3727285,40,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
WLWO9699686,40,hazardous,full,light,deep_sea,rail,import,,Jim Wonder,
YGHJ5192518,20,reefer,full,light,deep_sea,rail,import,washing,Jim Wonder,
YRFM7521381,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
OCTH6337325,20,dry,full,light,deep_sea,truck,import,customs,Jim Wonder,
EBRQ2344811,40,dry,empty,light,deep_sea,truck,import,,Jim Wonder,
BWBO1123669,40,hazardous,full,medium,deep_sea,rail,import,washing,Jim Wonder,
LDTT7736376,20,hazardous,full,medium,deep_sea,rail,import,,Jim Wonder,
RHUF7528424,40,dry,full,medium,deep_sea,truck,import,customs,Jim Wonder,
BVTR9692827,20,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
YLMF1282845,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,strip,Jim Wonder,
ILWO4391242,40,hazardous,full,medium,deep_sea,rail,import,washing,Jim Wonder,
DXGI8195195,40,dry,full,medium,deep_sea,rail,import,washing,Jim Wonder,
TAZZ2552422,40,reefer,full,medium,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
BWQS9868827,20,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
QDXR2583744,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
AEHR6568755,40,dry,full,light,deep_sea,truck,import,washing,Jim Wonder,
QNJM8177689,40,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
WVRE4173114,20,reefer,empty,medium,deep_sea,rail,import,seal,Jim Wonder,
AVON9821185,40,dry,full,medium,deep_sea,rail,import,stuff,Jim Wonder,
EFLQ8742522,40,dry,empty,medium,deep_sea,rail,import,,Jim Wonder,
ARNQ7328497,20,dry,full,heavy,deep_sea,rail,import,strip,Jim Wonder,
RNGB7777474,40,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
CDSU5417549,40,hazardous,full,medium,deep_sea,rail,import,seal,Jim Wonder,
SZPR2368899,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
WXET4681464,40,dry,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
PITD3271456,40,dry,empty,medium,deep_sea,rail,import,customs,Jim Wonder,
PNSK5586773,20,dry,full,medium,deep_sea,rail,import,stuff,Jim Wonder,
CZAM4254545,20,dry,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
COHO5847162,40,dry,empty,light,deep_sea,rail,import,,Jim Wonder,
GPWM5741732,40,dry,full,light,deep_sea,truck,import,strip,Jim Wonder,
PEUS3867936,20,dry,full,heavy,deep_sea,rail,import,customs,Jim Wonder,
HQFI6789373,20,reefer,full,medium,deep_sea,rail,import,,Jim Wonder,
IURG7674972,40,reefer,full,light,deep_sea,truck,import,washing,Jim Wonder,
RQCZ1345391,20,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
JZYK2984352,20,hazardous,full,heavy,deep_sea,truck,import,seal,Jim Wonder,
OTXJ8915533,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
QREV5573823,40,dry,empty,medium,deep_sea,rail,import,seal,Jim Wonder,
XVES7295415,40,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
URFV7451895,40,dry,full,medium,deep_sea,feeder,waterside_transshipment,strip,Jim Wonder,
RQPA9393357,40,dry,empty,medium,deep_sea,truck,import,washing,Jim Wonder,
HXNP8769458,40,dry,full,light,deep_sea,truck,import,,Jim Wonder,
ZJCU5819538,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,stuff,Jim Wonder,
SWHE8577715,20,dry,empty,light,deep_sea,rail,import,customs,Jim Wonder,
VLEM7945321,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
GADE4374851,40,dry,full,light,deep_sea,rail,import,,Jim Wonder,
LSOZ2573958,40,reefer,full,heavy,deep_sea,feeder,waterside_transshipment,,Jim Wonder,
IQDN2445443,40,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
RKFK7477631,40,dry,full,light,deep_sea,rail,import,,Jim Wonder,
LSBF3356646,20,dry,full,light,deep_sea,rail,import,,Jim Wonder,
QQYR5349746,40,dry,full,heavy,deep_sea,rail,import,seal,Jim Wonder,
RJDG2685667,40,dry,full,medium,deep_sea,rail,import,washing,Jim Wonder,
PUFH6762616,40,dry,full,light,deep_sea,rail,import,washing,Jim Wonder,
DCMI4761917,20,reefer,full,medium,deep_sea,truck,import,seal,Jim Wonder,
DRSD3763429,40,dry,full,light,deep_sea,truck,import,,Jim Wonder,
QRDZ6753193,40,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
IAWC2318325,40,dry,full,medium,deep_sea,truck,import,,Jim Wonder,
ZOEY2169326,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
ZHWI5733852,40,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
UZZC7954654,40,dry,full,heavy,deep_sea,rail,import,,Jim Wonder,
WKCZ4671281,20,reefer,full,heavy,deep_sea,rail,import,,Jim Wonder,
CPYS4998568,20,reefer,full,light,deep_sea,truck,import,stuff,Jim Wonder,
ZOXL4356916,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,Jim Wonder,
CVWH5373627,40,dry,empty,medium,deep_sea,truck,import,customs,Jim Wonder,
RDHB2131925,40,dry,full,medium,deep_sea,truck,import,washing,Jim Wonder,
ZXQQ9343639,40,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
DUTF6933351,40,dry,full,light,deep_sea,feeder,waterside_transshipment,strip,Jim Wonder,
APCD8997294,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
AYJT3772922,40,hazardous,full,light,deep_sea,truck,import,washing,Jim Wonder,
ASJY9249616,40,dry,empty,heavy,deep_sea,rail,import,,Jim Wonder,
LWGV5426529,40,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
NDDS9662172,40,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
VOQE8989879,20,hazardous,full,light,deep_sea,rail,import,washing,Jim Wonder,
KEJM2657773,40,hazardous,full,medium,deep_sea,rail,import,washing,Jim Wonder,
GUPT6328144,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
OAVZ9213866,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
OKAV4448851,20,reefer,empty,light,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
GNWP1319283,40,reefer,full,light,deep_sea,truck,import,,Jim Wonder,
XWLM7462561,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
KXMY6121822,40,dry,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
QMME7798688,20,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
RKVH3376141,40,dry,full,heavy,deep_sea,rail,import,,Jim Wonder,
DMCR3673536,20,dry,full,light,deep_sea,rail,import,customs,Jim Wonder,
NATC2246533,40,reefer,full,light,deep_sea,rail,import,washing,Jim Wonder,
GGVS5681339,40,dry,full,light,deep_sea,rail,import,customs,Jim Wonder,
LNFN8553384,40,dry,full,light,deep_sea,rail,import,seal,Jim Wonder,
GJXD1624939,40,dry,full,heavy,deep_sea,rail,import,seal,Jim Wonder,
JMFE5479485,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
LUGU7784392,40,dry,full,medium,deep_sea,rail,import,customs,Jim Wonder,
WHPB9182788,20,dry,full,light,deep_sea,truck,import,strip,Jim Wonder,
RRCN3954858,20,dry,full,light,deep_sea,feeder,waterside_transshipment,seal,Jim Wonder,
CAYP6265219,20,reefer,full,medium,deep_sea,rail,import,customs,Jim Wonder,
ITNY9436258,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
UBFH3531422,20,dry,full,medium,deep_sea,truck,import,strip,Jim Wonder,
JWZK2797616,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,customs,Jim Wonder,
XLXM5569485,20,dry,full,medium,deep_sea,rail,import,seal,Jim Wonder,
OWVY3618725,20,dry,empty,light,deep_sea,rail,import,seal,Jim Wonder,
VLFM5355435,40,dry,full,medium,deep_sea,truck,import,stuff,Jim Wonder,
IISL3675567,40,dry,full,heavy,deep_sea,rail,import,,Jim Wonder,
YPCY1817715,20,dry,full,heavy,deep_sea,rail,import,stuff,Jim Wonder,
EDPU4236432,40,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
KXBL9133529,40,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,,Jim Wonder,
UVQT3645836,40,reefer,full,light,deep_sea,rail,import,seal,Jim Wonder,
YDET6647113,40,dry,full,heavy,deep_sea,rail,import,washing,Jim Wonder,
TXOX7937828,40,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,seal,Jim Wonder,
LFVE9254777,40,dry,full,medium,deep_sea,rail,import,,Jim Wonder,
