id,size,type,status,weight,inbound_mode,outbound_mode,direction,service,input_vessel,input_vessel_carrier,input_vessel_liner,input_vessel_service,output_vessel,output_vessel_carrier,output_vessel_liner,output_vessel_service
LIKF2628115,20,hazardous,empty,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
RAFM7585868,20,dry,full,light,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
KMZZ5696473,20,hazardous,full,medium,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
RCJM2566336,20,dry,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
RDVE8854583,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
VYVZ2736927,20,dry,full,heavy,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
IZFB1694274,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
ZCRP3644931,20,dry,full,light,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
LZYA2946798,20,dry,empty,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
JGYR4719557,20,dry,empty,light,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
XPQY1684228,20,dry,empty,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
UQGQ5874727,20,dry,full,light,truck,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
OKFQ5456668,20,reefer,full,light,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
FLOP7382418,20,dry,full,medium,feeder,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
GZZA2751243,20,dry,empty,light,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
WDOV2877788,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
KINO9938777,20,dry,full,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
AZUZ2785497,20,reefer,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
FVRT7477371,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
XZFJ9379734,20,reefer,full,heavy,deep_sea,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
CZNV8579812,20,hazardous,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
PCUN3293429,20,dry,empty,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
UFKE3171398,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
YRFU3365315,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
VXBO7538547,20,dry,full,light,truck,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
PIHP3864425,20,hazardous,full,heavy,feeder,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
QECK8746957,20,hazardous,full,light,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
JCZM5443842,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
QVVY5761127,20,dry,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
MOFK4779435,20,dry,empty,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
JWAI2277723,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
XYRM1796932,20,dry,empty,heavy,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
NIIG3259559,20,dry,full,light,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
KNIS4331716,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
AHPB8137589,20,dry,full,heavy,feeder,deep_sea,waterside_transshipment,strip,,,,,Seestern,,BGF,BGGFEED
CWLG1136762,20,dry,empty,medium,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
FOBU6396359,20,dry,full,light,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
AWZZ9342252,20,dry,full,heavy,truck,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
HSNQ3686463,20,dry,full,heavy,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
SSQJ4838774,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
AKAK7784254,20,dry,full,heavy,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
QJNH1147355,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
TBPU4288952,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,strip,,,,,Seestern,,BGF,BGGFEED
XWAD1494715,20,hazardous,empty,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
HBVZ1266938,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
CDEN3198829,20,dry,full,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
IZNB7471443,20,reefer,full,heavy,feeder,deep_sea,waterside_transshipment,customs,,,,,Seestern,,BGF,BGGFEED
PZHG4288183,20,dry,full,heavy,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
OZRR8335643,20,dry,full,light,feeder,deep_sea,waterside_transshipment,customs,,,,,Seestern,,BGF,BGGFEED
NTAB8231871,20,dry,full,medium,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
RCDV2993377,20,dry,empty,heavy,feeder,deep_sea,waterside_transshipment,strip,,,,,Seestern,,BGF,BGGFEED
IPJN5552649,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
QISC7617367,20,dry,empty,heavy,truck,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
HWAT5214426,20,hazardous,empty,heavy,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
AQRO7664375,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
ZVMR5739478,20,reefer,full,light,feeder,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
QGPY7698915,20,dry,full,medium,rail,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
WSPQ5849546,20,dry,full,heavy,truck,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
NABC2243373,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
UAOB1625694,20,dry,full,heavy,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
RMOG9948174,20,reefer,full,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
OZOS4362853,20,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
ZWKM8832741,20,dry,full,medium,truck,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
GPNY3476521,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
WXOI5617298,20,reefer,empty,medium,deep_sea,deep_sea,waterside_transshipment,,,,,,Seestern,,BGF,BGGFEED
XIHR2664655,20,hazardous,empty,light,rail,deep_sea,export,strip,,,,,Seestern,,BGF,BGGFEED
UNOC2511429,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
TTXZ9153234,20,reefer,full,medium,truck,deep_sea,export,seal,,,,,Seestern,,BGF,BGGFEED
MHKC1913232,20,dry,full,light,rail,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
VDEW7733923,20,dry,full,medium,feeder,deep_sea,waterside_transshipment,washing,,,,,Seestern,,BGF,BGGFEED
OWHR8389482,20,dry,empty,light,rail,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
FDML6142613,20,dry,full,light,feeder,deep_sea,waterside_transshipment,seal,,,,,Seestern,,BGF,BGGFEED
PQIE3293662,20,dry,empty,medium,truck,deep_sea,export,customs,,,,,Seestern,,BGF,BGGFEED
BZVV4599573,20,dry,full,medium,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
EPTZ3897152,20,dry,empty,light,truck,deep_sea,export,washing,,,,,Seestern,,BGF,BGGFEED
YOVH4398584,20,dry,full,light,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
AGEM7349371,20,dry,full,light,rail,deep_sea,export,stuff,,,,,Seestern,,BGF,BGGFEED
HYAJ1982589,20,dry,full,medium,rail,deep_sea,export,,,,,,Seestern,,BGF,BGGFEED
WIFL9887791,20,dry,empty,medium,deep_sea,truck,import,seal,Seestern,,BGF,BGGFEED,,,,
FLYD7988287,20,dry,full,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
ZJSP9634338,20,dry,empty,medium,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
BXWE2168916,20,dry,empty,heavy,deep_sea,rail,import,customs,Seestern,,BGF,BGGFEED,,,,
RJPQ5589212,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
WJJI9617251,20,dry,full,light,deep_sea,truck,import,,Seestern,,BGF,BGGFEED,,,,
IISO2588786,20,dry,empty,heavy,deep_sea,feeder,waterside_transshipment,strip,Seestern,,BGF,BGGFEED,,,,
LAZR5666238,20,dry,full,light,deep_sea,feeder,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
ZKBX1649264,20,reefer,full,light,deep_sea,truck,import,,Seestern,,BGF,BGGFEED,,,,
TMJF5295876,20,dry,empty,light,deep_sea,rail,import,seal,Seestern,,BGF,BGGFEED,,,,
CCIV9554521,20,reefer,full,heavy,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
OGTZ7469776,20,dry,empty,light,deep_sea,truck,import,stuff,Seestern,,BGF,BGGFEED,,,,
AQMX9224234,20,dry,empty,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
WEML3873766,20,dry,full,light,deep_sea,rail,import,customs,Seestern,,BGF,BGGFEED,,,,
WYPQ5641299,20,dry,full,light,deep_sea,feeder,waterside_transshipment,strip,Seestern,,BGF,BGGFEED,,,,
OUBT8176281,20,dry,full,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
VZYC1623395,20,dry,empty,light,deep_sea,truck,import,washing,Seestern,,BGF,BGGFEED,,,,
EDQS2147643,20,dry,full,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
KYNM3162595,20,dry,full,light,deep_sea,rail,import,strip,Seestern,,BGF,BGGFEED,,,,
DWMX8816633,20,tank,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
YVDE1836672,20,reefer,full,heavy,deep_sea,rail,import,seal,Seestern,,BGF,BGGFEED,,,,
RDDL5977636,20,dry,full,light,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
YTDX1712692,20,dry,empty,medium,deep_sea,rail,import,strip,Seestern,,BGF,BGGFEED,,,,
UGJA8595179,20,reefer,full,light,deep_sea,rail,import,strip,Seestern,,BGF,BGGFEED,,,,
AFFY4225899,20,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
DXFK6337531,20,dry,full,medium,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
GKGM3352482,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
THEJ9611368,20,hazardous,full,heavy,deep_sea,deep_sea,waterside_transshipment,strip,Seestern,,BGF,BGGFEED,,,,
CDZZ8721132,20,tank,full,heavy,deep_sea,rail,import,customs,Seestern,,BGF,BGGFEED,,,,
MHTI6363421,20,tank,full,light,deep_sea,feeder,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
GFTC2924484,20,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
XMLR3368545,20,dry,full,heavy,deep_sea,deep_sea,waterside_transshipment,customs,Seestern,,BGF,BGGFEED,,,,
XSBE5399591,20,reefer,empty,medium,deep_sea,deep_sea,waterside_transshipment,seal,Seestern,,BGF,BGGFEED,,,,
RZXE5753978,20,dry,full,light,deep_sea,feeder,waterside_transshipment,seal,Seestern,,BGF,BGGFEED,,,,
WXJN9311314,20,dry,full,medium,deep_sea,rail,import,washing,Seestern,,BGF,BGGFEED,,,,
GNZC7125187,20,dry,full,medium,deep_sea,feeder,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
ZMOK4137785,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,strip,Seestern,,BGF,BGGFEED,,,,
YTXG5269952,20,dry,full,medium,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
YERY8562516,20,dry,empty,heavy,deep_sea,rail,import,seal,Seestern,,BGF,BGGFEED,,,,
MKXZ8433276,20,dry,full,medium,deep_sea,rail,import,washing,Seestern,,BGF,BGGFEED,,,,
UDNR1258992,20,reefer,full,medium,deep_sea,feeder,waterside_transshipment,stuff,Seestern,,BGF,BGGFEED,,,,
AXGZ4551878,20,dry,full,medium,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
WPOX8841877,20,dry,empty,light,deep_sea,truck,import,,Seestern,,BGF,BGGFEED,,,,
GYMP9535632,20,dry,full,heavy,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
AEDP3746782,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
JSHF4899477,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
NNTH3543462,20,dry,full,light,deep_sea,rail,import,stuff,Seestern,,BGF,BGGFEED,,,,
CDUV2285837,20,dry,full,medium,deep_sea,rail,import,customs,Seestern,,BGF,BGGFEED,,,,
UFDM3468516,20,dry,full,light,deep_sea,rail,import,strip,Seestern,,BGF,BGGFEED,,,,
MPDV4754643,20,dry,empty,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
FNSU7136388,20,dry,empty,medium,deep_sea,deep_sea,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
RGFG3231544,20,dry,empty,heavy,deep_sea,truck,import,customs,Seestern,,BGF,BGGFEED,,,,
ZZEK4812314,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
JRLI2167323,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,customs,Seestern,,BGF,BGGFEED,,,,
GDQK6125514,20,dry,empty,light,deep_sea,rail,import,seal,Seestern,,BGF,BGGFEED,,,,
WIQW9452173,20,dry,full,medium,deep_sea,rail,import,washing,Seestern,,BGF,BGGFEED,,,,
GMWL3577627,20,dry,full,light,deep_sea,rail,import,washing,Seestern,,BGF,BGGFEED,,,,
ZDLP8485536,20,dry,full,medium,deep_sea,rail,import,washing,Seestern,,BGF,BGGFEED,,,,
FQFR9458179,20,dry,full,medium,deep_sea,truck,import,washing,Seestern,,BGF,BGGFEED,,,,
YJDZ8333358,20,dry,full,light,deep_sea,deep_sea,waterside_transshipment,washing,Seestern,,BGF,BGGFEED,,,,
GHCZ2212523,20,dry,full,light,deep_sea,rail,import,strip,Seestern,,BGF,BGGFEED,,,,
GGPY9627292,20,reefer,empty,medium,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
STXV6127418,20,dry,empty,light,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
DBEH6961735,20,dry,full,light,deep_sea,rail,import,customs,Seestern,,BGF,BGGFEED,,,,
CTER2266249,20,dry,full,light,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
VDUK7831714,20,dry,full,medium,deep_sea,deep_sea,waterside_transshipment,,Seestern,,BGF,BGGFEED,,,,
IOZE1549783,20,dry,empty,medium,deep_sea,rail,import,,Seestern,,BGF,BGGFEED,,,,
