Dataset;Name;"Time IN";"Time OUT";Size;Status;Type;Service;Direction;Weight;"Mode IN";"Mode OUT";"Carrier IN";"Carrier OUT";"Service IN";"Service OUT";"Liner IN";"Liner OUT";Position;PoD;Block;X1;X2;Y1;Y2;Z1;Z2
Advanced;LPCH2343553;"2023-09-22 21:12:01";"2023-10-02 07:44:01";"20ft (teu)";full;dry;;"ws ts";heavy;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;IDTM8937194;"2023-09-27 11:21:01";"2023-10-01 12:13:01";"40ft (feu)";full;dry;;"ws ts";light;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ZXCB7743753;"2023-09-23 23:08:01";"2023-10-02 01:35:01";"40ft (feu)";full;"dry, reefer";customs;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;VZUS2449731;"2023-09-27 06:25:01";"2023-10-01 14:30:01";"40ft (feu)";full;dry;strip;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;QUXR7215249;"2023-09-20 03:14:01";"2023-10-01 14:53:01";"20ft (teu)";empty;dry;;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;GSKL2979915;"2023-09-27 11:10:01";"2023-10-02 05:32:01";"40ft (feu)";full;"dry, reefer";stuff;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;XWBZ8762143;"2023-09-17 22:49:01";"2023-10-01 12:54:01";"40ft (feu)";full;dry;;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;NWLV5568139;"2023-09-26 09:27:01";"2023-10-01 10:18:01";"40ft (feu)";empty;dry;customs;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;SNMO3653592;"2023-10-01 07:06:01";"2023-10-01 10:54:01";"40ft (feu)";empty;dry;stuff;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;YEVT7488911;"2023-09-28 02:25:01";"2023-10-01 18:20:01";"40ft (feu)";full;"reefer, hazardous";stuff;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;SRRQ3552421;"2023-09-26 20:41:01";"2023-10-01 14:53:01";"20ft (teu)";empty;"dry, reefer";stuff;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;WGDU6244243;"2023-09-21 15:21:01";"2023-10-01 19:52:01";"40ft (feu)";full;dry;"seal, customs";export;heavy;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;LBAR1496536;"2023-09-19 10:08:01";"2023-10-01 20:54:01";"40ft (feu)";empty;dry;washing;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;LSAA4685856;"2023-09-25 01:10:01";"2023-10-01 11:13:01";"40ft (feu)";full;"dry, hazardous";;export;light;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;HGDN5324165;"2023-09-29 10:07:01";"2023-10-01 21:38:01";"20ft (teu)";empty;"dry, hazardous";washing;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;WJVF3162852;"2023-09-19 01:05:01";"2023-10-01 19:12:01";"40ft (feu)";full;"dry, hazardous";strip;export;heavy;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;RSZB9231365;"2023-09-18 19:36:01";"2023-10-01 14:50:01";"40ft (feu)";full;dry;washing;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;OVGN8182951;"2023-09-26 01:32:01";"2023-10-01 19:24:01";"20ft (teu)";full;reefer;;"ws ts";middle;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;THKP6295366;"2023-09-17 00:20:01";"2023-10-01 23:02:01";"20ft (teu)";full;hazardous;stuff;export;heavy;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;SWPB2932363;"2023-09-21 02:08:01";"2023-10-02 01:21:01";"40ft (feu)";full;dry;strip;export;middle;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;RTPZ4969741;"2023-09-22 04:04:01";"2023-10-01 14:13:01";"40ft (feu)";full;"dry, reefer";"seal, strip";export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ORNU1138187;"2023-09-16 18:48:01";"2023-10-01 22:26:01";"40ft (feu)";full;dry;washing;"ws ts";middle;Feeder;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;JNQY4439325;"2023-09-27 11:29:01";"2023-10-01 22:19:01";"20ft (teu)";full;dry;washing;export;middle;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;OSEE5528629;"2023-09-27 11:00:01";"2023-10-01 23:49:01";"40ft (feu)";full;dry;;"ws ts";light;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;TDJM5219886;"2023-09-25 21:20:01";"2023-10-02 06:44:01";"40ft (feu)";full;dry;strip;"ws ts";light;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ZRIS9491949;"2023-09-20 03:40:01";"2023-10-02 07:19:01";"20ft (teu)";full;reefer;;"ws ts";heavy;Feeder;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;OLRT4124669;"2023-09-26 15:19:01";"2023-10-01 19:42:01";"40ft (feu)";full;"dry, reefer";washing;export;heavy;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;ZXOJ7778112;"2023-09-20 15:23:01";"2023-10-01 20:20:01";"40ft (feu)";empty;dry;;"ws ts";heavy;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;LKOM1533446;"2023-09-17 02:24:01";"2023-10-01 11:04:01";"40ft (feu)";full;dry;"seal, strip";export;heavy;Truck;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;VBGJ3736143;"2023-09-23 04:31:01";"2023-10-02 02:40:01";"40ft (feu)";empty;dry;stuff;"ws ts";light;Deepsea;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;NMTN9832748;"2023-09-21 21:37:01";"2023-10-01 21:15:01";"20ft (teu)";full;"dry, reefer";washing;export;heavy;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;SFOH2331662;"2023-09-29 04:20:01";"2023-10-01 08:54:01";"40ft (feu)";full;dry;strip;export;light;Rail;Deepsea;;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;
Advanced;VVLH4474828;"2023-10-02 08:49:01";"2023-10-06 11:52:59";"40ft (feu)";empty;dry;;import;heavy;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;XRCF1895895;"2023-10-02 09:36:01";"2023-10-04 19:02:59";"40ft (feu)";full;dry;;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;NZIB7463189;"2023-10-01 11:02:01";"2023-10-15 06:50:59";"40ft (feu)";full;dry;washing;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;BXGF4753561;"2023-10-01 14:55:01";"2023-10-06 04:31:59";"20ft (teu)";empty;dry;;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SXJB9852784;"2023-10-02 07:49:01";"2023-10-06 16:09:59";"40ft (feu)";full;dry;;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;LDYI9347869;"2023-10-01 16:05:01";"2023-10-14 17:39:59";"40ft (feu)";empty;dry;;"ws ts";light;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SBJK6596537;"2023-10-02 01:30:01";"2023-10-03 13:00:59";"20ft (teu)";full;hazardous;"washing, strip";import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;EBRN1285182;"2023-10-01 15:37:01";"2023-10-02 22:17:59";"20ft (teu)";full;dry;;"ws ts";light;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;TUMC7652212;"2023-10-02 04:06:01";"2023-10-15 23:43:59";"40ft (feu)";full;"dry, reefer";washing;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QEHS4961178;"2023-10-02 04:37:01";"2023-10-10 03:35:59";"40ft (feu)";full;dry;strip;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KYVB8665647;"2023-10-01 07:47:01";"2023-10-15 04:38:59";"40ft (feu)";full;"dry, reefer";washing;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;FFCK1457893;"2023-10-01 18:46:01";"2023-10-12 18:43:59";"20ft (teu)";empty;dry;customs;"ws ts";middle;Deepsea;Feeder;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;AXNI6929744;"2023-10-01 22:21:01";"2023-10-16 18:03:59";"40ft (feu)";full;dry;stuff;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QUOR8736175;"2023-10-02 06:03:01";"2023-10-15 22:01:59";"40ft (feu)";full;dry;;"ws ts";light;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QSJH9213148;"2023-10-01 12:55:01";"2023-10-12 04:32:59";"40ft (feu)";full;"dry, hazardous";seal;import;heavy;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;YVZT1345284;"2023-10-02 04:14:01";"2023-10-09 12:37:59";"40ft (feu)";full;dry;"seal, stuff";import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;PYXF8316511;"2023-10-02 01:56:01";"2023-10-06 17:00:59";"40ft (feu)";full;dry;;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QYFU1356446;"2023-10-02 03:21:01";"2023-10-10 01:13:59";"20ft (teu)";full;"dry, tank";seal;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;CBML1684513;"2023-10-01 12:56:01";"2023-10-11 19:05:59";"40ft (feu)";full;dry;"seal, strip, stuff";import;middle;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;JKJN1237438;"2023-10-02 03:49:01";"2023-10-03 11:33:59";"40ft (feu)";full;dry;"strip, stuff";import;light;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;EFEZ8379644;"2023-10-02 04:20:01";"2023-10-12 11:43:59";"40ft (feu)";full;dry;seal;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;EFAQ4672996;"2023-10-02 01:55:01";"2023-10-04 09:50:59";"40ft (feu)";full;tank;customs;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;ZNXS5417763;"2023-10-01 16:39:01";"2023-10-05 04:31:59";"20ft (teu)";full;dry;;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;RKBZ6523647;"2023-10-01 13:02:01";"2023-10-08 23:58:59";"40ft (feu)";empty;dry;;import;middle;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;OKBR2358111;"2023-10-01 14:06:01";"2023-10-03 08:04:59";"20ft (teu)";full;dry;washing;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;CBZH6422611;"2023-10-01 08:38:01";"2023-10-12 03:37:59";"20ft (teu)";full;tank;customs;import;heavy;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;AYAJ8573535;"2023-10-01 09:33:01";"2023-10-03 17:51:59";"40ft (feu)";full;dry;;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KFKS6468594;"2023-10-02 01:22:01";"2023-10-12 07:23:59";"20ft (teu)";full;dry;;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;LTPU5376596;"2023-10-01 10:48:01";"2023-10-05 14:12:59";"20ft (teu)";full;dry;;import;middle;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;DLCP4343167;"2023-10-02 05:16:01";"2023-10-10 11:44:59";"20ft (teu)";full;dry;"seal, strip";import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KNLX2778177;"2023-10-01 11:01:01";"2023-10-05 02:59:59";"40ft (feu)";empty;dry;"washing, seal";import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;TWCD4281469;"2023-10-01 08:18:01";"2023-10-08 01:35:59";"20ft (teu)";full;dry;seal;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;WMTW8123363;"2023-10-01 15:40:01";"2023-10-17 05:21:59";"40ft (feu)";full;dry;seal;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;LJDA6491748;"2023-10-02 01:12:01";"2023-10-06 14:21:59";"40ft (feu)";full;"dry, hazardous";;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SAOC6729219;"2023-10-01 22:23:01";"2023-10-06 00:27:59";"40ft (feu)";empty;dry;strip;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;NMLL3535169;"2023-10-01 14:23:01";"2023-10-06 12:20:59";"20ft (teu)";empty;dry;washing;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;CTPD1179138;"2023-10-02 03:10:01";"2023-10-14 08:53:59";"40ft (feu)";full;dry;seal;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;FGJX8265248;"2023-10-01 23:17:01";"2023-10-08 06:10:59";"40ft (feu)";empty;reefer;seal;"ws ts";light;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SNWD5865691;"2023-10-01 08:11:01";"2023-10-06 21:43:59";"20ft (teu)";full;dry;;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SFEH9579214;"2023-10-01 09:42:01";"2023-10-11 21:08:59";"40ft (feu)";empty;hazardous;"seal, strip";import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;ZNKI9679778;"2023-10-02 07:27:01";"2023-10-16 13:42:59";"40ft (feu)";full;dry;customs;"ws ts";heavy;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;RHQY3983725;"2023-10-02 05:41:01";"2023-10-12 01:40:59";"20ft (teu)";full;dry;;import;heavy;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;GRYE3985619;"2023-10-02 06:59:01";"2023-10-05 11:45:59";"40ft (feu)";full;dry;stuff;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;VPAI8869522;"2023-10-02 01:29:01";"2023-10-13 02:57:59";"20ft (teu)";empty;hazardous;strip;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QTAO8466867;"2023-10-01 10:27:01";"2023-10-13 18:23:59";"40ft (feu)";empty;dry;stuff;import;middle;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;FPRW1594374;"2023-10-01 16:55:01";"2023-10-04 00:05:59";"40ft (feu)";empty;"dry, reefer";seal;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KWVR2532126;"2023-10-01 14:24:01";"2023-10-12 05:36:59";"40ft (feu)";empty;dry;washing;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;GWCF8415934;"2023-10-02 10:00:01";"2023-10-05 16:30:59";"40ft (feu)";full;dry;seal;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;DNDJ4962786;"2023-10-01 11:33:01";"2023-10-09 17:56:59";"40ft (feu)";empty;dry;;"ws ts";middle;Deepsea;Feeder;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;OPCL4968956;"2023-10-01 21:10:01";"2023-10-14 13:30:59";"20ft (teu)";full;dry;"seal, customs";"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;DGKA6395324;"2023-10-01 19:53:01";"2023-10-13 01:43:59";"40ft (feu)";empty;dry;customs;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;EAFX7535647;"2023-10-01 22:48:01";"2023-10-03 13:50:59";"40ft (feu)";full;"dry, hazardous";"washing, customs";"ws ts";light;Deepsea;Feeder;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;HHLW2695333;"2023-10-02 06:19:01";"2023-10-05 03:35:59";"40ft (feu)";full;dry;washing;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;AQCY4785852;"2023-10-01 22:33:01";"2023-10-02 10:14:59";"20ft (teu)";empty;dry;customs;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;BDGE2683836;"2023-10-01 07:39:01";"2023-10-08 14:54:59";"40ft (feu)";full;dry;;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;LOFT7564233;"2023-10-02 08:48:01";"2023-10-12 12:59:59";"40ft (feu)";empty;reefer;"washing, stuff";import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;EBRZ2435377;"2023-10-01 14:50:01";"2023-10-05 14:45:59";"40ft (feu)";full;"dry, reefer";;import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;GMAE4438775;"2023-10-02 06:36:01";"2023-10-16 06:58:59";"40ft (feu)";empty;"dry, reefer";"seal, customs";import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;QBXJ3539461;"2023-10-02 06:24:01";"2023-10-16 03:31:59";"40ft (feu)";full;"dry, hazardous";;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;FIYF7462586;"2023-10-02 00:44:01";"2023-10-05 20:32:59";"40ft (feu)";empty;dry;;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KVMM7561135;"2023-10-01 21:57:01";"2023-10-09 07:58:59";"40ft (feu)";full;dry;;"ws ts";heavy;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;BIPW6652338;"2023-10-02 06:53:01";"2023-10-05 08:24:59";"20ft (teu)";full;"dry, reefer, tank";"washing, strip";import;heavy;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;CNRV8953229;"2023-10-01 17:06:01";"2023-10-03 10:56:59";"40ft (feu)";full;dry;stuff;import;light;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;UPYS1196431;"2023-10-01 18:19:01";"2023-10-11 14:33:59";"40ft (feu)";full;dry;strip;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;YJGG8353271;"2023-10-01 14:43:01";"2023-10-07 19:14:59";"40ft (feu)";full;dry;"washing, customs";"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;NDVK8523447;"2023-10-02 00:53:01";"2023-10-02 17:11:59";"20ft (teu)";full;dry;stuff;import;light;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;JSRN8245577;"2023-10-01 19:38:01";"2023-10-12 05:41:59";"40ft (feu)";full;"dry, tank";;import;middle;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;MCXQ6317863;"2023-10-02 08:37:01";"2023-10-04 16:41:59";"40ft (feu)";full;dry;"seal, strip, stuff";"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;SSEQ7357954;"2023-10-01 22:33:01";"2023-10-16 12:47:59";"40ft (feu)";full;dry;;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;MIQQ5342759;"2023-10-01 19:00:01";"2023-10-16 10:43:59";"40ft (feu)";full;dry;;import;light;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;PZYJ6834491;"2023-10-01 13:09:01";"2023-10-07 15:58:59";"40ft (feu)";full;dry;;"ws ts";middle;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;TNTO9784975;"2023-10-01 11:05:01";"2023-10-08 02:29:59";"20ft (teu)";full;dry;"strip, stuff";"ws ts";heavy;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;LVHP1657472;"2023-10-01 07:47:01";"2023-10-05 08:47:59";"40ft (feu)";full;dry;"washing, strip";import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;KZEN3651112;"2023-10-01 23:12:01";"2023-10-04 05:16:59";"40ft (feu)";full;"dry, tank";"washing, customs";"ws ts";heavy;Deepsea;Deepsea;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;MDDZ4288362;"2023-10-01 12:45:01";"2023-10-04 12:54:59";"40ft (feu)";empty;hazardous;washing;import;middle;Deepsea;Rail;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
Advanced;UNCH2232925;"2023-10-02 03:27:01";"2023-10-16 07:51:59";"20ft (teu)";full;dry;;import;light;Deepsea;Truck;"Jim Wonder";;BGGFEED;;BGF;;;;;;;;;;
